EGBA142144EE,"$1,268.08",BK.25X2,144,$8.36,B548A41,6,$10.75
EGBA144144LL,"$1,955.86",BK.25X4,144,$13.13,B548A42,6,$10.75
EGBA142120EE,"$1,056.74",BK.25X2,120,$8.36,B548A41,5,$10.75
EGBA142120JJ,"$1,056.74",BK.25X2,120,$8.36,B548A41,5,$10.75
EGBA144120CCT,"$1,629.88",BK.25X4,120,$13.13,B548A42,5,$10.75
EGBA144120NN,"$1,629.88",BK.25X4,120,$13.13,B548A42,5,$10.75
EGBA146120NN,"$2,256.76",BK.25X6,120,$17.91,B548A52,5,$21.49
EGBA384120BB,"$1,773.17",BK.375X4,120,$14.33,B548A42,5,$10.75
EGBA14296BB,$845.39,BK.25X2,96,$8.36,B548A41,4,$10.75
EGBA14296NN,$845.39,BK.25X2,96,$8.36,B548A41,4,$10.75
EGBA14396NN,"$1,074.65",BK.25X3,96,$10.75,B548A42,4,$10.75
EGBA14496CC,"$1,303.91",BK.25X4,96,$13.13,B548A42,4,$10.75
EGBA14496EE,"$1,303.91",BK.25X4,96,$13.13,B548A42,4,$10.75
EGBA14496NN,"$1,303.91",BK.25X4,96,$13.13,B548A42,4,$10.75
EGBC14296NN,$802.40,BK.25X2,96,$8.36
EGBA14384CCT,$945.69,BK.25X3,84,$10.75,B548A42,4,$10.75
